행정동_ID,행정동코드,행정동_명칭,자치구_명칭
11220570,1165056000,반포1동,서초구
11220580,1165057000,반포2동,서초구
11220590,1165058000,반포3동,서초구
11220600,1165058100,반포4동,서초구
11220610,1165059000,방배본동,서초구
11220620,1165060000,방배1동,서초구
11220630,1165061000,방배2동,서초구
11220640,1165062000,방배3동,서초구
11220650,1165062100,방배4동,서초구
11220660,1165065100,양재1동,서초구
11220670,1165065200,양재2동,서초구
11220680,1165066000,내곡동,서초구
11230510,1168051000,신사동,강남구
11230520,1168052100,논현1동,강남구
11230530,1168053100,논현2동,강남구
11230770,1168054500,압구정동,강남구
11230780,1168056500,청담동,강남구
11230580,1168058000,삼성1동,강남구
11230590,1168059000,삼성2동,강남구
11230600,1168060000,대치1동,강남구
11230790,1168061000,대치2동,강남구
11230630,1168063000,대치4동,강남구
11230640,1168064000,역삼1동,강남구
11230650,1168065000,역삼2동,강남구
11230660,1168065500,도곡1동,강남구
11230670,1168065600,도곡2동,강남구
11230680,1168066000,개포1동,강남구
11230800,1168067000,개포2동,강남구
11230511,1168067500,개포3동,강남구
11230710,1168069000,개포4동,강남구
11230760,1168070000,세곡동,강남구
11230720,1168072000,일원본동,강남구
11230730,1168073000,일원1동,강남구
11230750,1168075000,수서동,강남구
11240510,1171051000,풍납1동,송파구
11240520,1171052000,풍납2동,송파구
11240530,1171053100,거여1동,송파구
11240540,1171053200,거여2동,송파구
11240550,1171054000,마천1동,송파구
11240560,1171055000,마천2동,송파구
11240570,1171056100,방이1동,송파구
11240580,1171056200,방이2동,송파구
11240590,1171056600,오륜동,송파구
11240600,1171057000,오금동,송파구
11240610,1171058000,송파1동,송파구
11240620,1171059000,송파2동,송파구
11240630,1171060000,석촌동,송파구
11240640,1171061000,삼전동,송파구
11240650,1171062000,가락본동,송파구
11240660,1171063100,가락1동,송파구
11240670,1171063200,가락2동,송파구
11240680,1171064100,문정1동,송파구
11240690,1171064200,문정2동,송파구
11240810,1171064600,장지동,송파구
11240820,1171064700,위례동,송파구
11240710,1171065000,잠실본동,송파구
11240790,1171067000,잠실2동,송파구
11240800,1171068000,잠실3동,송파구
11240750,1171069000,잠실4동,송파구
11240770,1171071000,잠실6동,송파구
11240780,1171072000,잠실7동,송파구
11250750,1174051500,강일동,강동구
11250760,1174052500,상일1동,강동구
11250770,1174052600,상일2동,강동구
11250530,1174053000,명일1동,강동구
11250540,1174054000,명일2동,강동구
11250550,1174055000,고덕1동,강동구
11250560,1174056000,고덕2동,강동구
11250720,1174057000,암사1동,강동구
11250580,1174058000,암사2동,강동구
11250590,1174059000,암사3동,강동구
11250610,1174060000,천호1동,강동구
11250730,1174061000,천호2동,강동구
11250630,1174062000,천호3동,강동구
11250650,1174064000,성내1동,강동구
11250660,1174065000,성내2동,강동구
11250670,1174066000,성내3동,강동구
11250740,1174068500,길동,강동구
11250700,1174069000,둔촌1동,강동구
11250710,1174070000,둔촌2동,강동구
